,IfcDuctSegment,IfcAirTerminal,IfcBeam,IfcCableCarrierFitting,IfcCableCarrierSegment,IfcDuctFitting,IfcFurniture,IfcStair,IfcDoor,IfcSlab,IfcWall,IfcLamp,IfcRailing,IfcOutlet,IfcPipeFitting,IfcPipeSegment,IfcPlate,IfcSanitaryTerminal,IfcSpaceHeater,IfcValve
IfcDuctSegment,32,2,0,0,12,0,0,0,0,0,3,0,0,0,1,1,0,3,0,0
IfcAirTerminal,15,37,5,1,3,0,0,0,5,10,1,0,1,0,0,0,0,31,0,0
IfcBeam,1,0,16,0,4,0,0,0,0,4,0,0,0,0,0,0,5,4,0,1
IfcCableCarrierFitting,9,3,2,9,1,2,0,0,2,3,0,0,2,0,13,0,0,9,0,0
IfcCableCarrierSegment,7,0,1,1,77,0,0,0,2,21,0,0,0,0,0,0,2,0,0,0
IfcDuctFitting,8,2,0,3,0,18,0,0,0,1,3,0,0,0,4,0,4,15,0,0
IfcFurniture,0,3,0,0,1,0,1,0,2,0,0,0,1,0,0,0,0,27,0,0
IfcStair,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0
IfcDoor,0,0,1,0,0,0,0,0,218,0,1,0,1,0,0,0,6,7,0,0
IfcSlab,5,1,0,0,20,0,0,0,0,504,0,0,1,0,0,0,15,3,0,0
IfcWall,0,0,0,0,2,0,0,0,5,0,14,0,1,0,0,0,17,1,0,0
IfcLamp,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,6,0,0
IfcRailing,0,0,3,2,0,0,0,0,8,0,0,0,42,0,0,0,2,10,0,1
IfcOutlet,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
IfcPipeFitting,8,0,0,6,0,0,0,0,0,0,0,0,0,0,59,0,0,18,0,0
IfcPipeSegment,22,0,0,1,19,0,0,0,1,2,3,0,0,0,11,3,2,0,0,0
IfcPlate,0,0,0,0,6,0,0,0,8,56,12,0,0,0,0,0,170,1,0,0
IfcSanitaryTerminal,12,0,2,0,7,0,0,0,6,4,0,0,2,0,6,0,3,478,0,5
IfcSpaceHeater,0,0,0,0,1,0,0,0,1,8,0,0,5,0,0,0,2,11,0,0
IfcValve,1,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,0,31,0,4
