,IfcDuctSegment,IfcAirTerminal,IfcBeam,IfcCableCarrierFitting,IfcCableCarrierSegment,IfcDuctFitting,IfcFurniture,IfcStair,IfcDoor,IfcSlab,IfcWall,IfcLamp,IfcRailing,IfcOutlet,IfcPipeFitting,IfcPipeSegment,IfcPlate,IfcSanitaryTerminal,IfcSpaceHeater,IfcValve
IfcDuctSegment,4,0,0,0,4,1,0,0,0,3,2,0,0,0,37,14,4,4,0,0
IfcAirTerminal,0,28,0,0,1,1,0,0,6,11,0,0,0,0,9,1,3,61,0,0
IfcBeam,0,0,2,0,6,0,0,0,1,3,0,0,2,0,0,0,1,4,0,0
IfcCableCarrierFitting,0,7,0,0,3,0,0,0,3,7,0,0,0,0,31,0,1,17,0,0
IfcCableCarrierSegment,1,1,1,0,63,0,0,0,2,20,0,0,3,0,3,4,1,2,0,0
IfcDuctFitting,0,4,0,0,0,1,0,0,0,0,2,0,0,0,27,0,5,26,0,0
IfcFurniture,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,19,0,0
IfcStair,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,12,0,0
IfcDoor,0,0,0,0,0,0,0,0,216,0,0,0,3,0,0,0,0,5,0,0
IfcSlab,8,1,0,0,2,0,0,0,0,529,0,0,1,0,4,0,7,5,0,0
IfcWall,0,0,0,0,0,0,0,0,7,0,1,0,0,0,4,1,45,3,0,0
IfcLamp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0
IfcRailing,0,0,2,0,1,0,0,0,5,1,0,0,15,0,0,0,0,25,0,0
IfcOutlet,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0
IfcPipeFitting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,18,0,0
IfcPipeSegment,0,0,0,0,21,0,0,0,0,2,0,0,2,0,37,18,0,2,0,0
IfcPlate,2,0,0,0,7,0,0,0,8,72,0,0,0,0,0,0,139,2,0,0
IfcSanitaryTerminal,0,4,1,0,0,0,0,0,5,11,0,0,6,0,53,4,0,440,0,0
IfcSpaceHeater,0,0,0,0,1,0,0,0,3,6,0,0,4,0,6,3,2,2,0,0
IfcValve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,36,0,0
