object_id,y_real,y_pred,certainty
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/147_IfcDistributionControlElement.ply,0.0,6.0,0.99159175
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/180_IfcDistributionControlElement.ply,0.0,6.0,0.99999803
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/165_IfcDistributionControlElement.ply,0.0,6.0,1.0
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/146_IfcDistributionControlElement.ply,0.0,6.0,0.99265516
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/164_IfcDistributionControlElement.ply,0.0,6.0,0.99998856
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/157_IfcDistributionControlElement.ply,0.0,6.0,1.0
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/169_IfcDistributionControlElement.ply,0.0,6.0,1.0
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/173_IfcDistributionControlElement.ply,0.0,6.0,0.93944174
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/152_IfcDistributionControlElement.ply,0.0,6.0,1.0
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/172_IfcDistributionControlElement.ply,0.0,6.0,1.0
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/174_IfcDistributionControlElement.ply,0.0,6.0,1.0
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/154_IfcDistributionControlElement.ply,0.0,6.0,0.99985504
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/161_IfcDistributionControlElement.ply,0.0,6.0,1.0
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/167_IfcDistributionControlElement.ply,0.0,6.0,1.0
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/168_IfcDistributionControlElement.ply,0.0,6.0,1.0
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/163_IfcDistributionControlElement.ply,0.0,6.0,1.0
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/166_IfcDistributionControlElement.ply,0.0,6.0,0.99999803
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/144_IfcDistributionControlElement.ply,0.0,1.0,0.36440444
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/179_IfcDistributionControlElement.ply,0.0,6.0,1.0
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/145_IfcDistributionControlElement.ply,0.0,6.0,1.0
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/178_IfcDistributionControlElement.ply,0.0,1.0,0.53898436
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/149_IfcDistributionControlElement.ply,0.0,4.0,0.69948065
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/176_IfcDistributionControlElement.ply,0.0,6.0,1.0
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/150_IfcDistributionControlElement.ply,0.0,6.0,0.99999803
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/156_IfcDistributionControlElement.ply,0.0,6.0,0.99528664
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/159_IfcDistributionControlElement.ply,0.0,6.0,1.0
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/153_IfcDistributionControlElement.ply,0.0,6.0,1.0
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/170_IfcDistributionControlElement.ply,0.0,6.0,0.99997324
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/177_IfcDistributionControlElement.ply,0.0,3.0,0.9095939
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/160_IfcDistributionControlElement.ply,0.0,6.0,0.9974474
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/155_IfcDistributionControlElement.ply,0.0,3.0,0.9974893
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/175_IfcDistributionControlElement.ply,0.0,6.0,0.99999803
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/171_IfcDistributionControlElement.ply,0.0,6.0,1.0
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/158_IfcDistributionControlElement.ply,0.0,6.0,0.9996281
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/148_IfcDistributionControlElement.ply,0.0,6.0,0.95235205
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/162_IfcDistributionControlElement.ply,0.0,6.0,1.0
../resources/BIMGEOMV1/raw/IfcDistributionControlElement/test/151_IfcDistributionControlElement.ply,0.0,6.0,1.0
../resources/BIMGEOMV1/raw/IfcFlowController/test/172_IfcFlowController.ply,1.0,1.0,0.56701744
../resources/BIMGEOMV1/raw/IfcFlowController/test/167_IfcFlowController.ply,1.0,1.0,0.9992736
../resources/BIMGEOMV1/raw/IfcFlowController/test/145_IfcFlowController.ply,1.0,0.0,0.9978908
../resources/BIMGEOMV1/raw/IfcFlowController/test/155_IfcFlowController.ply,1.0,6.0,0.9984943
../resources/BIMGEOMV1/raw/IfcFlowController/test/165_IfcFlowController.ply,1.0,6.0,0.7660031
../resources/BIMGEOMV1/raw/IfcFlowController/test/148_IfcFlowController.ply,1.0,1.0,0.988772
../resources/BIMGEOMV1/raw/IfcFlowController/test/153_IfcFlowController.ply,1.0,6.0,0.93762124
../resources/BIMGEOMV1/raw/IfcFlowController/test/142_IfcFlowController.ply,1.0,6.0,0.7863685
../resources/BIMGEOMV1/raw/IfcFlowController/test/163_IfcFlowController.ply,1.0,6.0,0.7933997
../resources/BIMGEOMV1/raw/IfcFlowController/test/154_IfcFlowController.ply,1.0,1.0,0.54546726
../resources/BIMGEOMV1/raw/IfcFlowController/test/170_IfcFlowController.ply,1.0,6.0,0.47673833
../resources/BIMGEOMV1/raw/IfcFlowController/test/166_IfcFlowController.ply,1.0,1.0,0.9783752
../resources/BIMGEOMV1/raw/IfcFlowController/test/150_IfcFlowController.ply,1.0,4.0,0.994465
../resources/BIMGEOMV1/raw/IfcFlowController/test/151_IfcFlowController.ply,1.0,4.0,0.9038892
../resources/BIMGEOMV1/raw/IfcFlowController/test/156_IfcFlowController.ply,1.0,6.0,0.8582378
../resources/BIMGEOMV1/raw/IfcFlowController/test/157_IfcFlowController.ply,1.0,3.0,0.923363
../resources/BIMGEOMV1/raw/IfcFlowController/test/169_IfcFlowController.ply,1.0,1.0,0.9283915
